lookAtPositionX,lookAtPositionY,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,facePositionX,facePositionY,facePositionZ,faceEulerAnglesX,faceEulerAnglesY,faceEulerAnglesZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,leftEyeEulerAnglesX,leftEyeEulerAnglesY,leftEyeEulerAnglesZ,rightEyePositionX,rightEyePositionY,rightEyePositionY,rightEyeEulerAnglesX,rightEyeEulerAnglesY,rightEyeEulerAnglesZ
0.0,0.5,0.12677816,0.16758864,0.054146767,0.0,0.0,0.18088202,1.6261666e-08,0.10839163,0.16914514,0.06194136,0.0,0.0,0.18379338,1.6296935e-08,0.14850722,0.096618675,0.078653224,0.0010731121,0.0010775811,0.050730377,0.018573286,0.01045361,0.09905956,0.07165111,0.51564085,0.584267,0.36269206,0.7637739,0.43269658,0.4554208,0.5159637,0.51419306,0.5124723,0.5512148,0.48354894,0.4983093,0.48376912,0.5146002,0.51283175,0.55169916,0.51881844,0.5019523
0.0,0.5,0.13052098,0.1543523,0.055091888,0.0,0.0,0.17773245,1.3463601e-09,0.11483177,0.155901,0.060830873,0.0,0.0,0.18043582,1.3492796e-09,0.13919865,0.09348692,0.07860014,0.0040171337,0.0041199927,0.050704602,0.018066304,0.01019967,0.09638798,0.06968852,0.5156899,0.58399224,0.36227775,0.7617836,0.43070143,0.4553532,0.51596445,0.514178,0.5124791,0.54716736,0.4832558,0.49841604,0.4837651,0.514583,0.5128419,0.54764646,0.51850337,0.5017682
1.0,1.0,0.119041495,0.18045281,0.0,0.008483152,0.0,0.29254028,1.2304328e-05,0.1133101,0.18152222,0.12705806,0.0,0.0,0.2965135,1.2212955e-05,0.13641807,0.11902337,0.11460463,0.0003676476,0.0003545912,0.07200584,0.023450797,0.018885301,0.08432733,0.062356073,0.5092849,0.56082493,0.3372259,0.7037017,0.48721415,0.46309522,0.5159763,0.5142172,0.5125414,0.5551292,0.5025812,0.50028574,0.48376966,0.5146198,0.5128964,0.5556211,0.5385759,0.5043047
1.0,1.0,0.118913084,0.18644619,0.0,0.023939112,0.0,0.2948242,1.0187183e-06,0.11212281,0.18737647,0.14283927,0.0,0.0,0.2987975,1.0111526e-06,0.12871428,0.108100444,0.111888885,3.0438818e-05,2.9357843e-05,0.07779706,0.023754241,0.018515337,0.085240826,0.061775777,0.5089292,0.5620365,0.3374835,0.7060859,0.48431888,0.4640619,0.5159763,0.5142172,0.5125414,0.55694646,0.50725275,0.5008296,0.48376966,0.5146198,0.5128964,0.55744123,0.5433308,0.50499356
1.0,1.0,0.13041702,0.19552703,0.0,0.033996064,0.0,0.2973631,8.434328e-08,0.12316505,0.19634041,0.15306379,0.0,0.0,0.30121127,8.3716834e-08,0.13044198,0.10907297,0.11315729,2.520137e-06,2.4306398e-06,0.07588558,0.024158968,0.018626949,0.08669415,0.06265861,0.5110695,0.5625907,0.3381556,0.7062846,0.47550085,0.46395233,0.5159813,0.5142251,0.51257455,0.55973774,0.5102927,0.50123554,0.48376352,0.5146275,0.512925,0.56023407,0.5463972,0.50560826
0.5,0.0,5.670872e-07,0.052683,0.03549939,0.0,0.0,0.13659467,0.18432401,6.5954714e-07,0.054147393,0.08350403,0.0,0.0,0.13866329,0.20395008,0.10447799,0.07971222,0.09396354,0.020617776,0.021421053,0.04903118,0.012841645,0.009744847,0.057726815,0.048374236,0.5139042,0.56483483,0.33792967,0.65173966,0.4627915,0.45403063,0.5159884,0.5142345,0.5125825,0.51609313,0.48916698,0.49965122,0.48375648,0.51463616,0.51291704,0.5165581,0.52549475,0.50084424
0.5,0.0,4.6951126e-08,0.06252999,0.020330485,0.0,0.0,0.13710646,0.16405989,5.4606208e-08,0.06395457,0.09841245,0.0,0.0,0.13922283,0.18625385,0.103260644,0.079567924,0.09332084,0.020533036,0.02121887,0.050258607,0.013263751,0.010138303,0.057376273,0.048141725,0.513314,0.5645026,0.3376387,0.6512673,0.46248487,0.4540635,0.5159874,0.51423144,0.51258576,0.51905835,0.49374673,0.49976152,0.48375535,0.51463574,0.5129157,0.51952726,0.52998614,0.501171
0.0,0.0,0.004118194,0.06969934,0.11537341,0.0,0.0,0.13791764,0.07857234,0.0039316467,0.071406305,0.002357793,0.0,0.0,0.13949464,0.092474654,0.09631488,0.074967355,0.09501748,0.027021619,0.028212313,0.04856912,0.0142886825,0.010991362,0.05811375,0.050733887,0.51402634,0.5654368,0.3379776,0.65229464,0.46008396,0.4565154,0.51598245,0.51423985,0.51254165,0.5213129,0.46485296,0.49850217,0.48374766,0.514646,0.51286155,0.52178127,0.5007768,0.50003386
0.0,0.0,0.003496749,0.07330256,0.10868107,0.0,0.0,0.14198372,0.07620371,0.0034361645,0.07499898,0.009064296,0.0,0.0,0.14358565,0.08858552,0.09646889,0.0756275,0.0942746,0.02535479,0.02656132,0.049077664,0.014001273,0.01067925,0.05878306,0.05098788,0.5146934,0.5647931,0.33768272,0.65220433,0.4593535,0.45416564,0.51598245,0.51423985,0.51254165,0.52240443,0.46691132,0.49851742,0.48374766,0.514646,0.51286155,0.5228735,0.50283605,0.5001298
0.0,0.0,0.0004103909,0.06367902,0.11872482,0.0,0.0,0.14264198,0.100812405,0.00040477855,0.06536159,0.0,0.001394276,0.0,0.14412585,0.118486926,0.10172886,0.07707997,0.09324038,0.024763314,0.025600446,0.05026983,0.014881539,0.010984398,0.058473,0.050460145,0.5138684,0.5640068,0.33788785,0.65127647,0.45983323,0.45586357,0.5159822,0.5142422,0.5125313,0.5193441,0.46367398,0.49859515,0.48375,0.5146455,0.5128508,0.5198066,0.4994772,0.4999793
