lookAtPositionX,lookAtPositionY,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,facePositionX,facePositionY,facePositionZ,faceEulerAnglesX,faceEulerAnglesY,faceEulerAnglesZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,leftEyeEulerAnglesX,leftEyeEulerAnglesY,leftEyeEulerAnglesZ,rightEyePositionX,rightEyePositionY,rightEyePositionY,rightEyeEulerAnglesX,rightEyeEulerAnglesY,rightEyeEulerAnglesZ
0.0,0.5,0.17144124,0.4123141,0.20733586,0.0,0.0,0.026414393,0.0,0.17135921,0.41534513,0.0,0.08609016,0.0,0.026413739,0.0,0.40611032,0.40637115,0.04109087,0.0,0.0,0.018363263,0.012825346,0.012816992,0.039118666,0.04625679,0.47092128,0.5307601,0.3200896,0.45327362,0.596113,0.48553112,0.5167842,0.5149107,0.51384807,0.6268525,0.43870893,0.48415276,0.48317915,0.5150021,0.5139399,0.6269725,0.47457424,0.493404
0.0,0.5,0.1777581,0.4122692,0.20107242,0.0,0.0,0.025994647,0.0,0.1776695,0.41518453,0.0,0.079940625,0.0,0.025993932,0.0,0.40803033,0.40828988,0.041552424,0.0,0.0,0.018430961,0.012785814,0.012887898,0.0402972,0.047539145,0.471166,0.5311166,0.3202197,0.4532024,0.59684956,0.4837308,0.5167842,0.5149107,0.51384807,0.6268201,0.44057682,0.4846372,0.48317915,0.5150021,0.5139399,0.6269399,0.47640297,0.49387965
0.5,0.5,0.19273764,0.4135281,0.14500834,0.0,0.0,0.029650573,0.0,0.19259892,0.41548252,0.0,0.022451872,0.0,0.02964859,0.0,0.38500613,0.38522255,0.04594992,0.0,0.0,0.017927652,0.012909315,0.013602428,0.038855158,0.04454433,0.47248435,0.53166646,0.31734902,0.45489284,0.60895026,0.47133994,0.5167833,0.5149424,0.5138994,0.6268829,0.4569961,0.48886222,0.48314342,0.5150425,0.514001,0.6270151,0.49323997,0.49824488
0.5,0.5,0.20487359,0.419847,0.13751024,0.0,0.0,0.02976951,0.0,0.20466919,0.42168686,0.0,0.014506188,0.0,0.029766874,0.0,0.38480562,0.38518536,0.046990667,0.0,0.0,0.01749206,0.013142935,0.013954113,0.039003726,0.044764787,0.47268233,0.5318612,0.31766742,0.454427,0.6092124,0.47076654,0.5167833,0.5149424,0.5138994,0.6287395,0.45924667,0.4892822,0.48314342,0.5150425,0.514001,0.62887216,0.4955782,0.4988344
0.5,0.5,0.21396059,0.42579377,0.1409759,0.0,0.0,0.03023207,0.0,0.21379729,0.42771187,0.0,0.018381007,0.0,0.03022887,0.0,0.3833746,0.38380817,0.04879534,0.0,0.0,0.017291635,0.013699548,0.014585488,0.04026335,0.04614302,0.47268486,0.5317648,0.3180794,0.45375413,0.60938555,0.47113195,0.51678586,0.5149434,0.5139012,0.6306297,0.45831308,0.4888689,0.48314318,0.5150428,0.51400197,0.6307614,0.4944991,0.4985277
1.0,0.5,0.21529992,0.42285618,0.10498015,0.0,0.0,0.031410154,0.0,0.21515526,0.4240427,0.018073047,0.0,0.0,0.031409275,0.0,0.37816024,0.37844747,0.050635807,0.0,0.0,0.0183511,0.013731515,0.015818663,0.042719293,0.04776674,0.47337577,0.53167605,0.3171137,0.4553565,0.60985947,0.46827856,0.5167909,0.514954,0.5139348,0.6293143,0.46917713,0.49185157,0.48313424,0.5150425,0.5140186,0.62942994,0.50551313,0.50145984
1.0,0.5,0.2090303,0.40730092,0.10145427,0.0,0.0,0.031601727,0.0,0.20887887,0.40839553,0.0216986,0.0,0.0,0.031600446,0.0,0.36612952,0.36647594,0.051571682,0.0,0.0,0.018262204,0.013450744,0.015436128,0.0428933,0.047732968,0.4734893,0.53187275,0.316868,0.4567219,0.6093889,0.46751344,0.5167909,0.514954,0.5139348,0.62475437,0.47009212,0.49238405,0.48313424,0.5150425,0.5140186,0.62486976,0.5065449,0.5016693
1.0,0.5,0.20885953,0.4134477,0.095184304,0.0,0.0,0.031639125,0.0,0.20871603,0.41446054,0.027949177,0.0,0.0,0.031637326,0.0,0.36502436,0.36534753,0.05278457,0.0,0.0,0.017911147,0.013249031,0.01530628,0.04240402,0.046930052,0.47367626,0.5320561,0.3170607,0.4563673,0.6091429,0.46688053,0.51678765,0.51495427,0.51393336,0.62632334,0.47173658,0.49270785,0.4831363,0.51504934,0.51401675,0.6264456,0.50815016,0.5021061
1.0,1.0,0.40897235,0.51955193,0.06336588,0.0,0.0,0.039304405,0.0,0.408656,0.5200211,0.057396606,0.0,0.0,0.03931499,0.0,0.31282797,0.31457743,0.07796804,0.0,0.0,0.021892393,0.02187329,0.026855156,0.055742156,0.06661567,0.4714017,0.5323273,0.31645447,0.45148703,0.5977167,0.47848803,0.5167935,0.51496005,0.5139502,0.65874994,0.48179945,0.49402058,0.48312467,0.51505816,0.51403135,0.6588733,0.5168386,0.5055368
1.0,1.0,0.4067997,0.51763797,0.071753934,0.0,0.0,0.0371586,0.0,0.40648553,0.5182915,0.048563886,0.0,0.0,0.03716476,0.0,0.31133196,0.31314132,0.07604746,0.0,0.0,0.021972341,0.021031987,0.02552477,0.05469052,0.06505986,0.471522,0.53233486,0.31654066,0.4522329,0.5981024,0.47857374,0.51678365,0.51495546,0.51396036,0.65835345,0.4792505,0.49320194,0.48313266,0.5150541,0.51403874,0.65847605,0.51417285,0.5046481
1.0,1.0,0.40980652,0.52579904,0.07542491,0.0,0.0,0.038190052,0.0,0.40954548,0.5265365,0.04497121,0.0,0.0,0.038195904,0.0,0.31771386,0.31995705,0.074951865,0.0,0.0,0.02165304,0.021133248,0.02613675,0.05439185,0.06539584,0.47198075,0.5322152,0.31701398,0.45251176,0.60074115,0.4767055,0.51678324,0.5149552,0.5139608,0.660742,0.47795704,0.49266177,0.48313302,0.5150539,0.5140391,0.6608647,0.51285005,0.5042825
0.5,0.5,0.2413191,0.4325457,0.14921594,0.0,0.0,0.0324736,0.0,0.24124904,0.43463573,0.0,0.027044712,0.0,0.032471925,0.0,0.36994007,0.3702587,0.054093815,0.0,0.0,0.018243073,0.014994437,0.016788065,0.04195631,0.048832506,0.47262537,0.5321354,0.3170938,0.45377746,0.6065482,0.47394645,0.51678336,0.5149566,0.51394945,0.63262177,0.45606762,0.48808363,0.48313248,0.5150602,0.5140311,0.63275206,0.4920878,0.4978486
0.5,0.5,0.23860097,0.42446285,0.13985033,0.0,0.0,0.03352178,0.0,0.23853646,0.4263513,0.0,0.017779982,0.0,0.03352022,0.0,0.37368843,0.37402406,0.054353423,0.0,0.0,0.018013794,0.0153941205,0.017315153,0.042125065,0.049009457,0.4727513,0.53225785,0.31694058,0.45493087,0.6063069,0.47375086,0.51678514,0.5149582,0.51395375,0.63018507,0.45878386,0.4890335,0.4831295,0.5150629,0.5140334,0.6303157,0.49482274,0.49861926
0.5,0.5,0.23925255,0.42958295,0.13496962,0.0,0.0,0.034263797,0.0,0.23917347,0.43139628,0.0,0.012789798,0.0,0.034262806,0.0,0.37400016,0.374366,0.054499783,0.0,0.0,0.017915545,0.015157518,0.01723312,0.04204072,0.048805684,0.4728141,0.53269106,0.31716835,0.45509422,0.60630137,0.47312096,0.51678514,0.5149582,0.51395375,0.63168436,0.46008876,0.48925173,0.4831295,0.5150629,0.5140334,0.6318152,0.4961226,0.49895346
0.5,1.0,0.39525443,0.52272856,0.10394113,0.0,0.0,0.036038045,0.0,0.3950272,0.5241331,0.017129952,0.0,0.0,0.03603801,0.0,0.31491032,0.31686056,0.07327615,0.0,0.0,0.019473042,0.018753964,0.022271285,0.050429966,0.059514888,0.4729472,0.53196084,0.31669593,0.4514112,0.606081,0.4735314,0.51677716,0.5149636,0.5139515,0.65991676,0.46973684,0.48998415,0.48313794,0.5150751,0.51402974,0.660053,0.5048453,0.5016062
0.5,1.0,0.39872593,0.52548254,0.09848196,0.0,0.0,0.036211304,0.0,0.39849386,0.5267699,0.02242362,0.0,0.0,0.036211126,0.0,0.32447577,0.3262411,0.07244674,0.0,0.0,0.019706422,0.019023761,0.022366866,0.051547494,0.060225148,0.47320604,0.5318927,0.31669772,0.45178798,0.6054076,0.47276405,0.51677716,0.5149636,0.5139515,0.6607245,0.4712945,0.49044752,0.48313794,0.5150751,0.51402974,0.66086054,0.50633246,0.50211054
0.5,1.0,0.40220052,0.5212712,0.1042775,0.0,0.0,0.037350185,0.0,0.40199172,0.52267706,0.015976977,0.0,0.0,0.0373504,0.0,0.32549867,0.3272847,0.07278833,0.0,0.0,0.019773984,0.019435134,0.023211315,0.052488673,0.0613949,0.473273,0.5321953,0.3169621,0.45134747,0.6054678,0.47202983,0.51677763,0.514965,0.5139527,0.6595425,0.46970576,0.48999903,0.4831357,0.51507586,0.51402986,0.65967697,0.50458395,0.50151575
0.0,0.0,0.0,0.24220395,0.357691,0.0,0.0,0.040298313,0.05273898,0.0,0.24579175,0.0,0.24106856,0.0,0.040260244,0.052536316,0.43368584,0.43383068,0.029367808,0.0,0.0,0.01849424,0.011780553,0.011292772,0.04013891,0.048588052,0.47325522,0.5331811,0.31653744,0.4665631,0.60531795,0.47461018,0.5167836,0.51497126,0.5139638,0.57578284,0.39197034,0.4836338,0.4831326,0.5150809,0.5140417,0.575913,0.4272173,0.4889051
0.0,0.0,0.0,0.24701142,0.3348305,0.0,0.0,0.03842687,0.04318179,0.0,0.25042534,0.0,0.21727845,0.0,0.038399007,0.042889856,0.42837095,0.4285624,0.029246638,0.0,0.0,0.017952787,0.01140514,0.010960081,0.039833993,0.048657164,0.4733526,0.5330464,0.31656212,0.4663262,0.6050771,0.4747918,0.51678336,0.5149719,0.51396346,0.5770211,0.39889547,0.4844131,0.48313358,0.5150807,0.51404124,0.5771508,0.43440074,0.48982745
0.0,0.0,0.003889192,0.26475176,0.3231295,0.0,0.0,0.037243694,0.00924536,0.0039278083,0.26824823,0.0,0.20484331,0.0,0.037221335,0.009227449,0.4161996,0.4163374,0.029392745,0.0,0.0,0.017681597,0.0111386785,0.010661768,0.039844025,0.048652194,0.47340938,0.5333022,0.3166467,0.4666169,0.6047858,0.47501233,0.5167831,0.5149729,0.51396286,0.5824368,0.40260854,0.48390347,0.483135,0.51508033,0.5140406,0.582566,0.4382748,0.48974106
