lookAtPositionX,lookAtPositionY,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,facePositionX,facePositionY,facePositionZ,faceEulerAnglesX,faceEulerAnglesY,faceEulerAnglesZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,leftEyeEulerAnglesX,leftEyeEulerAnglesY,leftEyeEulerAnglesZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,rightEyeEulerAnglesX,rightEyeEulerAnglesY,rightEyeEulerAnglesZ
0.44757622,0.84462744,2.8700363e-06,0.1254212,0.005228003,0.0,0.0,0.37584412,0.11350623,2.8742181e-06,0.12670371,0.113462985,0.0,0.0,0.38198572,0.13224292,0.14152528,0.09173027,0.07874137,0.0048913155,0.004961875,0.046147782,0.0398607,0.032762382,0.10665559,0.0854081,0.5165359,0.5576391,0.3106862,0.70294386,0.45211935,0.47138247,0.51609826,0.5142981,0.51279694,0.53847754,0.4983668,0.49987406,0.4837241,0.5147168,0.51300067,0.5389617,0.53450364,0.5026919
0.6686839,0.8281051,0.05391503,0.124509655,0.11695254,0.0,0.0,0.48629925,0.00047068088,0.049830925,0.12651442,0.0019471719,0.0,0.0,0.48748493,0.0,0.076288916,0.059280068,0.12524205,0.053506557,0.05597329,0.042244382,0.040757217,0.036683213,0.122719966,0.09681173,0.519964,0.5584814,0.3085456,0.6998184,0.47981206,0.48003757,0.51609784,0.5142867,0.5127968,0.53812754,0.46438307,0.49728107,0.4837327,0.5147308,0.5130191,0.53864306,0.50059366,0.50004596
0.063465476,0.5093146,0.0035085392,0.1308787,0.0,0.10476033,0.0,0.21011849,0.08386879,0.0034797606,0.1316035,0.22205216,0.0,0.0,0.21569815,0.111611806,0.15146767,0.11907226,0.07735454,1.5380989e-06,1.549554e-06,0.039335378,0.0287735,0.023584528,0.07113235,0.05947588,0.5148005,0.5621279,0.30731878,0.6570333,0.406594,0.45856163,0.51607764,0.51430416,0.5128043,0.5399184,0.53184587,0.50254613,0.48373374,0.51474607,0.5130236,0.5404292,0.5675587,0.50545776
0.17965186,0.087758005,0.056152698,0.18816546,0.0,0.064656146,0.0,0.04474379,0.013834284,0.05029455,0.1887952,0.18220988,0.0,0.0,0.04477747,0.013990937,0.12872744,0.11143806,0.07268901,1.3492071e-05,1.3535744e-05,0.026881605,0.018571524,0.0139056435,0.055958718,0.0497905,0.5156212,0.5683108,0.30754778,0.55662626,0.42385367,0.46395743,0.5160771,0.51431894,0.51281184,0.55751604,0.51979244,0.50228626,0.4837317,0.51475143,0.5130262,0.5580198,0.55545497,0.5064504
0.0041064024,0.24360383,0.012994928,0.12383229,0.004769696,0.0,0.0,0.13614023,0.06940621,0.012750583,0.1251474,0.113235146,0.0,0.0,0.13760291,0.08633043,0.12751263,0.08884286,0.08389113,0.00717853,0.007269584,0.034417268,0.020608153,0.014788815,0.05425441,0.046103872,0.51256096,0.5591516,0.31846118,0.6212935,0.4386878,0.4769328,0.5160849,0.5143333,0.5128295,0.5378456,0.49848983,0.49988547,0.4837297,0.514761,0.5130489,0.5383385,0.5344302,0.50264305
0.46239823,0.16393399,0.0053680097,0.11344124,0.03632375,0.0,0.0,0.12507872,0.07361077,0.005344643,0.11495188,0.082375675,0.0,0.0,0.12617347,0.09376335,0.15811001,0.09465557,0.08108292,0.0063233864,0.0063599055,0.030726146,0.020768983,0.015138377,0.054147452,0.045023724,0.5149773,0.55889666,0.31894857,0.6195792,0.45787275,0.4776569,0.5160911,0.5143259,0.51286966,0.5347747,0.48908335,0.4992396,0.48372123,0.5147562,0.51309276,0.53527194,0.52524316,0.50178295
0.08207792,0.71498334,0.034099452,0.16708535,0.022574648,0.0,0.0,0.21044052,0.04155709,0.032263614,0.16846679,0.09626309,0.0,0.0,0.21261145,0.04491232,0.13111223,0.089432426,0.07891412,0.0054901587,0.0055415905,0.04174896,0.02749205,0.020506114,0.0713086,0.056949314,0.51458514,0.5568474,0.31765473,0.6576813,0.4466072,0.47022483,0.5160911,0.5143313,0.51288486,0.5509879,0.493258,0.4993101,0.48371914,0.51476413,0.51310354,0.5514935,0.5293638,0.50303304
0.60029024,0.06788027,2.110344e-07,0.097770244,0.06280193,0.0,0.0,0.13003846,0.11257257,2.1742898e-07,0.099429004,0.055827755,0.0,0.0,0.13071254,0.12797552,0.16071719,0.096944034,0.07601017,0.0017368263,0.0017492503,0.03061435,0.019294158,0.013718018,0.054479882,0.04555019,0.5160231,0.5603263,0.31769478,0.61516666,0.46278265,0.4797494,0.5160912,0.51433736,0.5128916,0.5298379,0.4808647,0.49885702,0.48372036,0.51477474,0.5131054,0.53034014,0.5170253,0.50103414
0.30082417,0.58256584,0.047344964,0.18012828,0.015218412,0.0,0.0,0.15411638,0.025599835,0.04351032,0.18145196,0.10344945,0.0,0.0,0.15561643,0.026663687,0.13508722,0.08963416,0.07866031,0.0085999295,0.008705679,0.036758523,0.024891045,0.019776633,0.06266465,0.05114888,0.51529634,0.5584166,0.31720313,0.63968116,0.4499948,0.47447735,0.5160975,0.5143265,0.51288956,0.5551699,0.49536163,0.49948612,0.48371106,0.51476574,0.5130997,0.5556818,0.5313865,0.5035075
0.8948826,0.7910942,0.000107239815,0.08022154,0.027484939,0.0,0.0,0.33299112,0.199637,0.00011879026,0.0817556,0.0920193,0.0,0.0,0.34104452,0.22596012,0.14646433,0.09792223,0.070237055,0.017983375,0.01922872,0.043771554,0.034254216,0.024733549,0.089317545,0.07267529,0.5198411,0.5571929,0.3175797,0.69010055,0.45439044,0.4693732,0.51609415,0.51433504,0.5128858,0.52447015,0.49157277,0.49958727,0.4837125,0.5147731,0.5130952,0.5249746,0.52801645,0.5013998
0.040522695,0.25022483,0.021005712,0.13551602,0.04088424,0.0,0.0,0.12542717,0.04253004,0.020624805,0.1370374,0.07637075,0.0,0.0,0.12624109,0.047327187,0.12823641,0.10802609,0.08946418,0.0016662129,0.0014773677,0.019989409,0.014272938,0.01413527,0.03469056,0.029835917,0.51509595,0.5626283,0.3167015,0.62312186,0.44792455,0.4765832,0.5160979,0.51434255,0.5128984,0.54152143,0.48752457,0.49896172,0.48370886,0.5147783,0.5131003,0.5420188,0.52321935,0.5019552
