lookAtPositionX,lookAtPositionY,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,facePositionX,facePositionY,facePositionZ,faceEulerAnglesX,faceEulerAnglesY,faceEulerAnglesZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,leftEyeEulerAnglesX,leftEyeEulerAnglesY,leftEyeEulerAnglesZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,rightEyeEulerAnglesX,rightEyeEulerAnglesY,rightEyeEulerAnglesZ
0.7203244,0.026723385,0.0,0.0,0.016475191,0.0,0.050270192,0.2673155,0.35363358,0.0,0.0,0.101918004,0.0,0.047935635,0.2811524,0.37719807,0.15788037,0.13280888,0.067659765,3.1371404e-05,3.1633186e-05,0.049406663,0.014315153,0.013355723,0.053058725,0.04542433,0.4786106,0.5059269,0.34241748,0.508681,0.56246936,0.46546468,0.5161768,0.5143721,0.5129954,0.48897347,0.49490708,0.50011235,0.48360243,0.51481766,0.5132141,0.48946318,0.53107333,0.4993455
0.46418643,0.12717098,1.586561e-05,0.026726918,0.040291127,0.0,0.0,0.24920876,0.1430831,2.080164e-05,0.028264686,0.07744806,0.0,0.0,0.26086277,0.16071132,0.20515174,0.18286602,0.060466275,1.010442e-11,1.0188725e-11,0.053706504,0.018956449,0.01708097,0.05208603,0.048071004,0.47928417,0.5053349,0.34234667,0.5056695,0.55699027,0.47027844,0.51621306,0.5143951,0.5130705,0.50816387,0.48769155,0.49979904,0.4835733,0.5148242,0.51328784,0.50864077,0.5236478,0.50040853
0.12789595,0.381014,0.014343553,0.09119199,0.0,0.0037205105,0.0,0.22630697,0.056296833,0.014152481,0.09253891,0.12221916,0.0,0.0,0.23337007,0.06693401,0.21309732,0.20287614,0.061173983,3.254534e-18,3.2816887e-18,0.05601402,0.02462303,0.021806702,0.06583085,0.06419494,0.47527313,0.5035839,0.343543,0.5071518,0.5425867,0.50826037,0.51620346,0.5143999,0.5130981,0.5278566,0.5011308,0.50006306,0.48357183,0.5148306,0.51330924,0.5283468,0.53726584,0.50211304
0.48484725,0.9087468,0.59622335,0.19636948,0.0,0.05013448,0.0,0.5325877,0.0073615187,0.56432563,0.19704548,0.16357043,0.0,0.0,0.5641081,0.007225087,0.18778086,0.18060704,0.07615322,1.0482535e-24,1.0569988e-24,0.06899302,0.03162987,0.03876686,0.06226012,0.05581124,0.46900088,0.5067317,0.3324726,0.58595026,0.58762854,0.514405,0.51618296,0.51440865,0.5131118,0.56000507,0.51520216,0.50183296,0.48359337,0.5148369,0.5133215,0.56048244,0.5495966,0.5060187
0.40703374,0.84507376,0.00077457697,0.06685896,0.0101397,0.0,0.0,0.37137383,0.131315,0.0007735276,0.06830384,0.10757908,0.0,0.0,0.38562328,0.1532849,0.28328317,0.26437038,0.04082833,3.3763219e-31,3.4044855e-31,0.07826022,0.02787578,0.02356361,0.0743036,0.05867989,0.4739305,0.511074,0.3216342,0.5903139,0.5578048,0.48737884,0.5161863,0.51443386,0.51313597,0.5204209,0.4969054,0.49987355,0.48359102,0.5148658,0.5133515,0.52090687,0.53282934,0.5013725
0.46780276,0.49133623,0.00032600522,0.07299872,0.07403607,0.0,0.0,0.22648653,0.14060768,0.00034465498,0.07464908,0.04401128,0.0,0.0,0.23552263,0.16598202,0.26167223,0.21799794,0.043058325,1.0874781e-37,1.0965507e-37,0.056070328,0.019951094,0.016405653,0.05924051,0.05147546,0.488508,0.5287162,0.3116925,0.59384227,0.52954024,0.48782054,0.51617354,0.51444536,0.51313555,0.5223568,0.47734368,0.49898663,0.4835985,0.5148785,0.5133511,0.5228464,0.51336664,0.5006111
0.37015492,0.24115473,1.05003076e-10,0.0103645185,0.07851847,0.0,0.0,0.23935594,0.35430634,1.11009965e-10,0.011948537,0.039380506,0.0,0.0,0.2511036,0.3784494,0.24434014,0.20406961,0.04164561,3.4e-44,3.4e-44,0.056444142,0.017505296,0.014327675,0.060840786,0.054136757,0.48817995,0.5300089,0.31108814,0.58726895,0.52129745,0.489536,0.5161695,0.5144371,0.51312923,0.5031995,0.47599483,0.49984646,0.48360193,0.51487064,0.5133415,0.50368077,0.51200384,0.50008833
0.1322859,0.5960969,0.006151038,0.12088224,0.09719116,0.0,0.0,0.18811843,0.07268227,0.0061140684,0.1226938,0.01995019,0.0,0.0,0.19220586,0.08815276,0.2486342,0.21973513,0.044402692,0.0,0.0,0.06875539,0.022728818,0.018883895,0.07078685,0.064889394,0.4866479,0.5301466,0.31122702,0.5819175,0.5225778,0.49312258,0.5161747,0.5144382,0.5131361,0.53712004,0.47053248,0.4978096,0.4835981,0.51487166,0.5133467,0.5376113,0.5062143,0.5004683
0.046488762,0.8262109,0.09998962,0.19295068,0.037954383,0.0,0.0,0.20782708,2.413147e-07,0.09349066,0.19439399,0.07947791,0.0,0.0,0.21048874,2.2183978e-07,0.21901885,0.19909325,0.055941373,0.0,0.0,0.068580784,0.02601743,0.024564117,0.07344521,0.06562998,0.48707402,0.53004366,0.3107396,0.5795697,0.521833,0.4916648,0.51617193,0.514438,0.5131319,0.558808,0.48849568,0.49864075,0.48359758,0.51486903,0.51333576,0.5593027,0.52411777,0.5028728
0.39871675,0.07537705,2.2907402e-08,0.0,0.07531215,0.0,0.022843977,0.25010476,0.32482505,3.689694e-08,0.0,0.041895024,0.0,0.020700118,0.2614583,0.35084835,0.24494958,0.20792581,0.03994492,0.0,0.0,0.05848802,0.016040012,0.013284104,0.058731936,0.052169103,0.48779574,0.5310814,0.3111358,0.58801043,0.5196497,0.49090815,0.51616794,0.51443493,0.51312554,0.4950534,0.477084,0.5002266,0.48359808,0.5148656,0.5133254,0.495525,0.5128879,0.49988467
