lookAtPositionX,lookAtPositionY,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,facePositionX,facePositionY,facePositionZ,faceEulerAnglesX,faceEulerAnglesY,faceEulerAnglesZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,leftEyeEulerAnglesX,leftEyeEulerAnglesY,leftEyeEulerAnglesZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,rightEyeEulerAnglesX,rightEyeEulerAnglesY,rightEyeEulerAnglesZ
0.46037167,0.29317856,0.10020415,0.3547196,0.14965655,0.0,0.0,0.04159992,1.2261588e-14,0.10019641,0.35661155,0.0,0.027020058,0.0,0.0415251,1.20044465e-14,0.2222712,0.22226878,0.07966054,0.0,0.0,0.027701566,0.017920438,0.014631483,0.062246785,0.06016671,0.46697006,0.4723941,0.3082921,0.2830717,0.59669757,0.44961455,0.516745,0.5148017,0.5137022,0.6086509,0.45549494,0.49018803,0.48315594,0.5149072,0.51386976,0.60880303,0.49207845,0.49824858
0.24841887,0.11837506,0.04789023,0.2886176,0.18668105,0.0,0.0,0.05028031,3.949329e-21,0.04793448,0.29072386,0.0,0.065350376,0.0,0.05018041,3.8665124e-21,0.24232341,0.2423627,0.07232771,0.0,0.0,0.027481293,0.018881127,0.015184842,0.06398999,0.063822374,0.46756715,0.47267464,0.30803394,0.28348413,0.59651715,0.45026898,0.5167767,0.51479125,0.5137599,0.5888179,0.44387585,0.48994663,0.48311406,0.51490295,0.5139069,0.5889662,0.48036128,0.49646926
0.0044111013,0.5164527,0.20302448,0.41777962,0.16155896,0.0,0.0,0.04226798,1.2720392e-27,0.20298561,0.42009544,0.0,0.039629083,0.0,0.042212754,1.2453643e-27,0.1903199,0.19038647,0.09418749,0.0,0.0,0.030670648,0.019872196,0.01721285,0.06631133,0.06563986,0.46710885,0.47198287,0.30831358,0.2769777,0.5967541,0.4498589,0.5167693,0.5147907,0.5138044,0.62825376,0.45244604,0.48754865,0.4831281,0.5148966,0.51393694,0.6284001,0.48848355,0.4969761
0.25648862,0.20812851,0.11941839,0.34034187,0.19104515,0.0,0.0,0.0462264,4.4518873e-34,0.11942242,0.34274453,0.0,0.06946249,0.0,0.046145253,4.3585306e-34,0.24779685,0.24780017,0.07327845,0.0,0.0,0.031696185,0.017966187,0.0149002625,0.061401073,0.061588943,0.46783325,0.47279897,0.30753702,0.27880275,0.6002295,0.45080146,0.516764,0.5148264,0.5138348,0.6046423,0.44306284,0.4879353,0.48313308,0.5149253,0.5139623,0.6047763,0.47940114,0.4956205
0.034207225,0.23834807,0.13829987,0.36200157,0.22250542,0.0,0.0,0.045095466,1.43389e-40,0.13829899,0.36504802,0.0,0.10114416,0.0,0.045034986,1.40386e-40,0.2197296,0.21972342,0.07853323,0.0,0.0,0.0302874,0.017753389,0.014404792,0.060796004,0.06146656,0.468484,0.47290626,0.30775204,0.2778784,0.5983371,0.45105702,0.5167667,0.5148466,0.5138565,0.6113988,0.4336889,0.4850251,0.4831249,0.5149517,0.5139802,0.61153984,0.4698494,0.49316475
0.1026482,0.49621767,0.21504414,0.414112,0.16601038,0.0,0.0,0.041792694,0.0,0.21491823,0.4164725,0.0,0.04428124,0.0,0.04176172,0.0,0.1923961,0.19242024,0.09515026,0.0,0.0,0.031067632,0.018965654,0.016115626,0.06345013,0.062547706,0.46820778,0.4723168,0.30795276,0.27381295,0.5985374,0.45067105,0.5167659,0.5148403,0.5138404,0.6271455,0.45108712,0.48730966,0.48312902,0.5149423,0.5139659,0.6272855,0.4870796,0.49663833
0.4425649,0.07957113,0.14442946,0.3631814,0.08341003,0.0,0.0,0.049128424,0.0,0.14434265,0.36397412,0.038792793,0.0,0.0,0.04909067,0.0,0.26416072,0.26454702,0.099069685,0.0,0.0,0.03554409,0.020782081,0.01754689,0.080710605,0.074204326,0.46171638,0.47375488,0.30736333,0.27099,0.6051478,0.53499603,0.51676357,0.51485485,0.51384246,0.6111196,0.47514856,0.49438682,0.48313582,0.5149527,0.5139657,0.6112525,0.51156944,0.50261736
0.6532065,0.4451636,0.2575385,0.467197,0.032350987,0.0,0.0,0.040261958,0.0,0.2571474,0.46703953,0.09020275,0.0,0.0,0.04023216,0.0,0.23377594,0.23399113,0.10406561,0.0,0.0,0.033640586,0.021808451,0.017945932,0.082330495,0.074067906,0.46184364,0.47388363,0.3071645,0.26478237,0.5991588,0.5320484,0.5167697,0.514883,0.5138496,0.6427354,0.49048066,0.4972064,0.4831374,0.5149762,0.51396644,0.64286613,0.52639675,0.5077504
0.94382757,0.0062161684,0.18378454,0.3840699,0.0,0.016913377,0.0,0.044599257,0.0,0.18343277,0.38318568,0.1378876,0.0,0.0,0.04458325,0.0,0.11847172,0.11889811,0.15874788,0.0,0.0,0.047188602,0.021606918,0.02076802,0.076319925,0.06411665,0.46021622,0.47509703,0.30925292,0.26553047,0.6038357,0.54452795,0.5167761,0.5149108,0.51386446,0.6174778,0.5050317,0.50120443,0.48313326,0.51500505,0.513973,0.61760294,0.54097617,0.50980735
0.6124735,0.7952031,0.26468077,0.44513822,0.11604805,0.0,0.0,0.044300277,0.0,0.26403826,0.44663402,0.006044979,0.0,0.0,0.044250388,0.0,0.09389775,0.093624264,0.14869297,0.0,0.0,0.02812124,0.02266385,0.017993534,0.0744529,0.0659357,0.4709246,0.4715142,0.30771214,0.27154475,0.6081105,0.4166514,0.5167752,0.51492465,0.5138741,0.636316,0.4658596,0.49046314,0.48313266,0.5150219,0.51398486,0.6364481,0.5017881,0.50050044
0.40710688,0.54912585,0.280105,0.48397467,0.15388584,0.0,0.0,0.033571694,0.0,0.2799471,0.48635665,0.0,0.03161166,0.0,0.033519793,0.0,0.11713443,0.11771238,0.14065628,0.0,0.0,0.03611921,0.018939065,0.015597821,0.065279774,0.06482653,0.4672514,0.4745636,0.30694988,0.2511925,0.6082288,0.46701124,0.5167773,0.5149199,0.5138616,0.64845586,0.45509547,0.48628312,0.4831332,0.51501775,0.51397777,0.6485918,0.49082157,0.49718925
0.4193251,0.33067346,0.25481147,0.44524536,0.14704084,0.0,0.0,0.04108832,0.0,0.25471076,0.44734633,0.0,0.02497687,0.0,0.041036204,0.0,0.17560916,0.17598051,0.11735224,0.0,0.0,0.037387986,0.019610161,0.016573949,0.06663875,0.0656496,0.4665857,0.47400823,0.3065186,0.25614595,0.6083691,0.46616948,0.5167563,0.51491463,0.5138352,0.6365166,0.45673263,0.48790148,0.4831523,0.5150121,0.5139482,0.63664997,0.4926424,0.49793765
0.25374871,0.9494225,0.33943507,0.5000042,0.10819681,0.0,0.0,0.037006665,0.0,0.338727,0.5014635,0.01326462,0.0,0.0,0.03696726,0.0,0.099004745,0.099341035,0.14555058,0.0,0.0,0.034845825,0.020836461,0.016604168,0.06986226,0.06687874,0.46766946,0.47292587,0.30797154,0.26311338,0.6014564,0.45895544,0.51675427,0.51491594,0.51382613,0.6530161,0.46855927,0.4900739,0.48315424,0.5150158,0.5139405,0.6531528,0.50394,0.50124604
0.8495278,0.42415762,0.23231718,0.44249552,0.10869361,0.0,0.0,0.035501484,0.0,0.23217596,0.44385356,0.0143755395,0.0,0.0,0.03545532,0.0,0.15573817,0.15597263,0.11903054,0.0,0.0,0.036044728,0.019358255,0.016278746,0.065029494,0.06328284,0.46809456,0.47375333,0.3067429,0.26245773,0.6057271,0.46032307,0.51675314,0.5149165,0.5138298,0.6355942,0.46813148,0.49114627,0.48315045,0.5150156,0.5139429,0.63573,0.5043525,0.5012114
0.34861022,0.64318424,0.28031498,0.46837178,0.1392081,0.0,0.0,0.039182592,0.0,0.28002954,0.47040525,0.0,0.016976722,0.0,0.039138276,0.0,0.12260052,0.12278471,0.12883228,0.0,0.0,0.035856616,0.020246757,0.016223922,0.068736576,0.06687815,0.46755594,0.47332302,0.30696774,0.26296854,0.60789615,0.45996308,0.5167492,0.5149228,0.513827,0.64371777,0.4592025,0.48795506,0.48315138,0.5150234,0.5139407,0.64385533,0.49500945,0.49852324
0.9874155,0.41879117,0.22447352,0.43656808,0.08139843,0.0,0.0,0.03767941,0.0,0.22433354,0.43740585,0.041897222,0.0,0.0,0.03762567,0.0,0.16419485,0.16428408,0.114820704,0.0,0.0,0.03433341,0.019133141,0.016031029,0.06754809,0.06324638,0.4682414,0.47387964,0.30638385,0.26616985,0.6062729,0.4583744,0.51674587,0.5149241,0.51382595,0.63350034,0.4759463,0.49342346,0.48315203,0.51502717,0.5139409,0.63364065,0.5122699,0.5033595
0.5762974,0.67627466,0.28713426,0.4791436,0.12129804,0.0,0.0,0.03828429,0.0,0.28682968,0.48085016,0.0010084116,0.0,0.0,0.038241744,0.0,0.12097986,0.12111218,0.13189274,0.0,0.0,0.036986083,0.019837204,0.016350659,0.06858209,0.06629893,0.468503,0.47381052,0.30677554,0.26373038,0.6060463,0.4581805,0.5167445,0.51492655,0.51382834,0.6467251,0.46453613,0.48929435,0.48315102,0.5150301,0.5139436,0.64686644,0.50030106,0.5000911
0.8008029,0.7928903,0.31716427,0.48676997,0.07823159,0.0,0.0,0.03801437,0.0,0.31672505,0.48759487,0.044049136,0.0,0.0,0.03797043,0.0,0.1042476,0.10437881,0.13889672,0.0,0.0,0.036077235,0.020996243,0.017246759,0.072841525,0.06952819,0.4678772,0.47340572,0.3061998,0.26321918,0.6064441,0.45659316,0.51673985,0.5149294,0.513829,0.6488489,0.47726837,0.49302843,0.4831544,0.51503444,0.5139439,0.6489916,0.5129807,0.5039862
0.7996722,0.6233003,0.29825628,0.4714284,0.08561664,0.0,0.0,0.040699102,0.0,0.29775724,0.47239614,0.036703773,0.0,0.0,0.040651098,0.0,0.13214524,0.13220078,0.1293902,0.0,0.0,0.03934551,0.020650499,0.017909331,0.070023574,0.065490305,0.46774703,0.47336912,0.30623937,0.2652197,0.60700953,0.45702514,0.51673895,0.51492894,0.5138328,0.6442026,0.47492608,0.49256483,0.4831543,0.5150349,0.51394826,0.6443461,0.5107423,0.50319004
0.797061,0.83104414,0.339174,0.497797,0.09144474,0.0,0.0,0.040677488,0.0,0.33878142,0.49892068,0.030174257,0.0,0.0,0.040623493,0.0,0.10874351,0.108941,0.13967803,0.0,0.0,0.03589611,0.021399964,0.017676534,0.07336095,0.07027459,0.46826053,0.47347897,0.30596673,0.26302505,0.60688114,0.45692518,0.51673764,0.5149303,0.5138336,0.6523941,0.47339362,0.4916346,0.48315534,0.5150365,0.5139513,0.6525385,0.5088302,0.5027805
0.47054243,0.9778202,0.3791407,0.5075443,0.109109625,0.0,0.0,0.045163408,0.0,0.3775319,0.5090653,0.011883964,0.0,0.0,0.045032803,0.0,0.11704731,0.1171494,0.14951944,0.0,0.0,0.033465717,0.023856908,0.017880423,0.07447174,0.069537774,0.46749666,0.47311264,0.30639118,0.26297665,0.6066528,0.4570113,0.51673675,0.5149338,0.5138346,0.65534234,0.46827137,0.48982072,0.48315945,0.5150404,0.5139552,0.65548754,0.5034615,0.5011125
0.09985858,0.85045284,0.37209928,0.4935902,0.13294612,0.0,0.0,0.050464146,0.0,0.37097812,0.49558735,0.0,0.012181822,0.0,0.05034965,0.0,0.13331175,0.1335133,0.13905503,0.0,0.0,0.034036398,0.023479607,0.018249467,0.07253211,0.06945937,0.46740296,0.4732031,0.3058729,0.26594,0.6069064,0.45815092,0.5167364,0.5149344,0.5138325,0.65123916,0.46117923,0.48790035,0.4831615,0.515041,0.51395464,0.65138435,0.49639976,0.4988754
0.65266854,0.054989576,0.07891377,0.31306073,0.15950868,0.0,0.0,0.043405484,7.243279e-08,0.078948066,0.31488925,0.0,0.038106173,0.0,0.04333392,7.193549e-08,0.23632598,0.23634169,0.079639144,0.0,0.0,0.035568476,0.017385613,0.014101801,0.061960533,0.059990358,0.4679708,0.47407076,0.3054608,0.27218845,0.6060296,0.45800582,0.5167399,0.51493245,0.5138295,0.59607065,0.45217267,0.49071085,0.48315883,0.5150388,0.51395303,0.59621,0.4885769,0.49777463
0.75928366,0.114485204,0.123408504,0.36269003,0.15313494,0.0,0.0,0.04431938,2.3329852e-14,0.12340826,0.36463195,0.0,0.030869992,0.0,0.044245187,2.3169683e-14,0.2432012,0.24325106,0.08591426,0.0,0.0,0.03635469,0.019162,0.015990186,0.06529535,0.06300303,0.4686927,0.47405896,0.30602235,0.26896158,0.6059973,0.45792845,0.51673824,0.5149326,0.51382613,0.6112468,0.45437476,0.48969355,0.4831603,0.5150381,0.5139497,0.6113885,0.49080494,0.49791712
0.22673869,0.97739017,0.3152922,0.47500274,0.07352274,0.0,0.0,0.040533863,7.514311e-21,0.3147308,0.47574058,0.048107453,0.0,0.0,0.04049829,7.4627144e-21,0.13280854,0.13290712,0.12950607,0.0,0.0,0.0346389,0.02177613,0.018319216,0.07173268,0.06726771,0.468716,0.47131604,0.30847776,0.27975523,0.5909331,0.44540524,0.5167384,0.51493496,0.5138288,0.6452051,0.47835493,0.49353355,0.48316094,0.51504195,0.51395255,0.6453514,0.5139495,0.50417274
0.4236654,0.9406412,0.3410347,0.48918456,0.08673536,0.0,0.0,0.042665232,2.6298602e-27,0.3404807,0.490205,0.035066742,0.0,0.0,0.042628847,2.611803e-27,0.13926466,0.13934961,0.12510544,0.0,0.0,0.033396207,0.02155262,0.01844834,0.07191852,0.06886613,0.46873894,0.47242284,0.30791903,0.27321202,0.59803694,0.4580212,0.5167392,0.5149355,0.51383257,0.64962214,0.4748694,0.4922509,0.48316112,0.5150418,0.5139565,0.6497684,0.5104154,0.50321627
0.79101497,0.8474614,0.34169808,0.48619664,0.0792524,0.0,0.0,0.04448583,8.4705085e-34,0.3412236,0.4870586,0.04248371,0.0,0.0,0.04443768,8.412347e-34,0.12704636,0.12733763,0.13431136,0.0,0.0,0.0351028,0.021576272,0.0187177,0.07193772,0.06998671,0.46876916,0.47331077,0.3066405,0.2674244,0.60600096,0.457213,0.51673824,0.51493263,0.51383036,0.6488105,0.4767914,0.49288422,0.48316106,0.51503927,0.5139539,0.6489569,0.51233625,0.5037874
0.7783704,0.34635806,0.19609831,0.41009134,0.115712784,0.0,0.0,0.04112887,2.72824e-40,0.19604206,0.41155574,0.0074744103,0.0,0.0,0.041084237,2.7095e-40,0.1953335,0.19550304,0.10070331,0.0,0.0,0.03748783,0.018712984,0.016657528,0.06506495,0.06267336,0.4688523,0.4737805,0.3062144,0.2703348,0.60438526,0.45472184,0.5167363,0.51493,0.5138289,0.62540936,0.46566865,0.49121165,0.4831629,0.5150388,0.5139523,0.62555724,0.50211,0.50054127
