lookAtPositionX,lookAtPositionY,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,facePositionX,facePositionY,facePositionZ,faceEulerAnglesX,faceEulerAnglesY,faceEulerAnglesZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,leftEyeEulerAnglesX,leftEyeEulerAnglesY,leftEyeEulerAnglesZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,rightEyeEulerAnglesX,rightEyeEulerAnglesY,rightEyeEulerAnglesZ
0.7161985,0.6596052,0.2164105,0.47088042,0.06198037,0.0,0.0,0.054071337,1.0219815e-13,0.21403983,0.47115362,0.060269263,0.0,0.0,0.054110784,1.0095676e-13,0.15925576,0.15889506,0.12060963,0.0,0.0,0.18302828,0.04915705,0.04206735,0.09347875,0.099655636,0.47966298,0.46754304,0.3295615,0.28793103,0.5816967,0.5452484,0.5168001,0.5152168,0.5140285,0.64381146,0.48180026,0.49461743,0.48313668,0.5152605,0.51413983,0.64388967,0.5176128,0.50521207
0.72398555,0.22196525,0.059967313,0.3423076,0.15863298,0.0,0.0,0.055043764,0.0015808006,0.056397315,0.34406158,0.0,0.036207113,0.0,0.055043787,0.0016092905,0.1960125,0.19328503,0.06911597,0.0,0.0,0.16070916,0.04306429,0.027679699,0.09156216,0.092822924,0.4841268,0.46854967,0.32760936,0.27741212,0.57857865,0.4832088,0.51682526,0.515234,0.5140894,0.6050155,0.45258403,0.48990864,0.48310056,0.5152857,0.51420903,0.6050977,0.48916084,0.4976877
0.16253483,0.2707522,0.12489742,0.38768345,0.13015862,0.0,0.0,0.06003585,5.0915977e-10,0.1211137,0.3891533,0.0,0.008634586,0.0,0.060043465,5.183371e-10,0.23833628,0.23740193,0.06910216,0.0,0.0,0.14064647,0.049309567,0.039347954,0.0880099,0.094158575,0.479207,0.46878973,0.32875276,0.27823228,0.5740914,0.5387906,0.5168381,0.5152533,0.51413345,0.6186861,0.46138555,0.49066827,0.48308712,0.5153082,0.51426053,0.61877525,0.4974593,0.49938485
0.45547694,0.3855089,0.15051188,0.4076715,0.10074694,0.0,0.0,0.06154701,1.6399523e-16,0.14702903,0.40870014,0.021370536,0.0,0.0,0.061582305,1.6695101e-16,0.21273386,0.2123185,0.08024956,0.0,0.0,0.16222696,0.046805434,0.04199279,0.0853962,0.092598036,0.48028398,0.4683838,0.32846916,0.278841,0.57888746,0.5325233,0.5168558,0.51527274,0.5141479,0.62480825,0.4701847,0.49240416,0.4830702,0.5153345,0.51427555,0.62490606,0.5063282,0.5016145
0.6395883,0.06178361,0.0022455496,0.24742436,0.110371515,0.0,0.0,0.06747338,0.053789537,0.0022252477,0.24826115,0.01075794,0.0,0.0,0.06748794,0.057908807,0.21363918,0.21346377,0.058837462,0.0,0.0,0.15224776,0.038081363,0.029209979,0.07990179,0.08623502,0.48074135,0.46868005,0.32738128,0.28379232,0.5782435,0.5329474,0.5168669,0.5152892,0.5141583,0.5757972,0.46668512,0.49491453,0.48305804,0.51535094,0.51429003,0.5758849,0.5032588,0.5004984
0.7217837,0.73453206,0.28564233,0.4962727,0.08362093,0.0,0.0,0.0673979,1.153905e-07,0.28290686,0.49708414,0.038378943,0.0,0.0,0.0674406,1.1535097e-07,0.17819533,0.17794758,0.10769356,0.0,0.0,0.13621977,0.059411537,0.053141676,0.10314807,0.10618494,0.48078692,0.46850693,0.3272248,0.2832438,0.58076704,0.5285833,0.5168627,0.5152967,0.51416713,0.6518766,0.47566372,0.4923753,0.48306257,0.51535565,0.51429987,0.6519776,0.51121396,0.5035172
0.72583425,0.41699332,0.17712004,0.41671157,0.06139425,0.0,0.0,0.07198074,3.716617e-14,0.17480119,0.41705853,0.060752343,0.0,0.0,0.07199481,3.715338e-14,0.20274162,0.20258598,0.08844737,0.0,0.0,0.1269833,0.04910463,0.04268289,0.0963772,0.09794752,0.48121247,0.46841243,0.3265192,0.2878726,0.578462,0.5321634,0.5168686,0.51530886,0.51417726,0.6275144,0.48195922,0.49529782,0.48305848,0.515374,0.51431435,0.6276188,0.5180662,0.5047128
0.9465093,0.1593157,0.1217549,0.34445578,0.060446315,0.0,0.0,0.07815811,1.19708375e-20,0.11934747,0.34476918,0.06196849,0.0,0.0,0.07817244,1.1966731e-20,0.24134952,0.24118057,0.07276988,0.0,0.0,0.119221434,0.047653895,0.040382236,0.09487763,0.096322805,0.48119724,0.4686968,0.32619292,0.28936142,0.5782842,0.5316936,0.5168666,0.5153232,0.5141865,0.6051592,0.48209643,0.49617893,0.48306057,0.5153882,0.51432157,0.6052585,0.5186579,0.5039859
0.24108028,0.14820158,0.10487473,0.34814507,0.1363222,0.0,0.0,0.07953592,3.8556894e-27,0.10307607,0.34963444,0.0,0.014569782,0.0,0.07953624,3.8543594e-27,0.25446293,0.25345868,0.06356267,0.0,0.0,0.1356245,0.047236618,0.034910526,0.09114671,0.09257311,0.48101056,0.468687,0.32606742,0.29350588,0.5803877,0.53402126,0.5168737,0.5153335,0.514194,0.60671574,0.45919383,0.4911667,0.48305258,0.51539975,0.51432776,0.60681605,0.49554127,0.49903274
0.5495473,0.81110483,0.33339167,0.52408487,0.100177586,0.0,0.0,0.08674244,1.241877e-33,0.3305998,0.52532053,0.02077829,0.0,0.0,0.08681216,1.2414478e-33,0.19653147,0.19590808,0.10265046,0.0,0.0,0.15941277,0.06693415,0.055277325,0.10498087,0.1073118,0.48118517,0.46797976,0.32734272,0.28605968,0.5800723,0.52634937,0.5168769,0.51534283,0.51418674,0.6604131,0.47082618,0.49031207,0.48304814,0.51540977,0.51431996,0.66052264,0.50589055,0.50195885
