lookAtPositionX,lookAtPositionY,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,facePositionX,facePositionY,facePositionZ,faceEulerAnglesX,faceEulerAnglesY,faceEulerAnglesZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,leftEyeEulerAnglesX,leftEyeEulerAnglesY,leftEyeEulerAnglesZ,rightEyePositionX,rightEyePositionY,rightEyePositionY,rightEyeEulerAnglesX,rightEyeEulerAnglesY,rightEyeEulerAnglesZ
0.5,1.0,0.30703685,0.5125116,0.07986306,0.0,0.0,0.08804213,0.0,0.30683175,0.513236,0.03948502,0.0,0.0,0.08803935,0.0,0.20718838,0.20883133,0.11159862,0.0,0.0,0.056551486,0.037293475,0.042408194,0.07695279,0.087467134,0.4951869,0.4504391,0.33631015,0.23598662,0.5404042,0.49148855,0.51676476,0.5149782,0.5137657,0.6565534,0.47676083,0.49247944,0.483218,0.5150529,0.5138155,0.65664285,0.5114446,0.5037071
0.5,1.0,0.32029897,0.5062608,0.08815349,0.0,0.0,0.091073595,0.0,0.31948787,0.50713956,0.031113269,0.0,0.0,0.091061175,0.0,0.20962077,0.21059278,0.112694144,0.0,0.0,0.05824667,0.038134277,0.041258782,0.07665609,0.085385226,0.4953288,0.45034868,0.33666927,0.23606426,0.54093003,0.4917222,0.51676184,0.51496005,0.5138,0.6549114,0.47438547,0.4918043,0.48320293,0.5150321,0.5138418,0.65499556,0.50908273,0.5029092
1.0,1.0,0.3822238,0.5051563,0.04858637,0.0,0.0,0.10557367,0.0,0.38082162,0.5052023,0.06968769,0.0,0.0,0.10555698,0.0,0.23515409,0.23771802,0.103096284,0.0,0.0,0.05149416,0.041129045,0.047160227,0.07930713,0.087946504,0.49563465,0.45009848,0.336585,0.23423451,0.5384381,0.49183583,0.51682216,0.51502085,0.5138939,0.6543733,0.4858347,0.49548277,0.4831372,0.5150933,0.51392907,0.65445477,0.5202394,0.5064568
1.0,1.0,0.3790884,0.5104596,0.04446214,0.0,0.0,0.1060453,0.0,0.37814975,0.5104104,0.07436925,0.0,0.0,0.10603552,0.0,0.2377834,0.24079031,0.10274639,0.0,0.0,0.049556293,0.04071186,0.046764195,0.07913202,0.08772992,0.49564293,0.44989657,0.33696088,0.23364308,0.5382776,0.49018127,0.51682216,0.51502085,0.5138939,0.655942,0.4870326,0.49581978,0.4831372,0.5150933,0.51392907,0.65602386,0.5215749,0.5069572
1.0,1.0,0.4005069,0.512021,0.053088866,0.0,0.0,0.12015981,0.0,0.39844167,0.51215523,0.06550325,0.0,0.0,0.120135844,0.0,0.24862275,0.25246394,0.100366324,0.0,0.0,0.05210126,0.042245895,0.049150705,0.078838386,0.08811994,0.49553335,0.44981757,0.33720922,0.23402789,0.5396742,0.49098003,0.5168411,0.5150383,0.51391894,0.6564712,0.48455063,0.49500194,0.48312008,0.5151106,0.51395357,0.65655243,0.5190135,0.50615394
0.0,1.0,0.40657845,0.52731025,0.12885642,0.0,0.0,0.10938066,0.0,0.4049031,0.5291181,0.0,0.011251205,0.0,0.10936099,0.0,0.25714952,0.26123777,0.09801311,0.0,0.0,0.05568438,0.037854556,0.04168374,0.07290561,0.0817321,0.49560323,0.4497033,0.33767274,0.23239449,0.53979343,0.4914655,0.5168539,0.51504934,0.5139538,0.661517,0.46267673,0.48751986,0.48310286,0.51512843,0.5139965,0.66160655,0.4967472,0.49891046
0.0,1.0,0.42126748,0.52776223,0.11544257,0.0,0.0,0.10962241,0.0,0.41796038,0.5292799,0.0019632287,0.0,0.0,0.10957733,0.0,0.25404376,0.25730303,0.10117916,0.0,0.0,0.054625858,0.03907428,0.040603884,0.07181142,0.078571096,0.4955781,0.44968146,0.33795494,0.23269191,0.5391197,0.4919473,0.5168539,0.51504934,0.5139538,0.66156155,0.4665665,0.48881468,0.48310286,0.51512843,0.5139965,0.6616509,0.50057644,0.5001931
0.0,1.0,0.42791116,0.5168205,0.11254858,0.0,0.0,0.10695356,0.0,0.42394277,0.51825833,0.005180871,0.0,0.0,0.10691868,0.0,0.24265318,0.24599838,0.10133892,0.0,0.0,0.05335821,0.037814833,0.040418357,0.07096547,0.07826525,0.4955179,0.44957286,0.3375975,0.23297492,0.5399419,0.49144357,0.5168639,0.5150492,0.51397157,0.6581908,0.46737105,0.4893272,0.48309848,0.5151279,0.51401836,0.6582814,0.50155044,0.5005079
1.0,0.5,0.21171814,0.41286772,0.11605173,0.0,0.0,0.10794375,0.0,0.21173717,0.4141643,0.0061271726,0.0,0.0,0.10793461,0.0,0.2999389,0.3007595,0.06829241,0.0,0.0,0.05043858,0.03364649,0.037390903,0.07526688,0.083117284,0.499477,0.44789997,0.33438182,0.23128629,0.5354449,0.4873215,0.5168684,0.5150463,0.5139759,0.62643564,0.4657229,0.49115056,0.48310083,0.51512384,0.51402146,0.62652826,0.5018631,0.5004818
1.0,0.5,0.20898175,0.41800794,0.109555505,0.0,0.0,0.107365265,0.0,0.20902045,0.41919696,0.012853812,0.0,0.0,0.10735985,0.0,0.30869463,0.30944028,0.06827869,0.0,0.0,0.048363507,0.03311841,0.037088133,0.0733832,0.081272,0.49978402,0.44791138,0.3346188,0.23300415,0.53464055,0.48729035,0.5168684,0.5150463,0.5139759,0.6279404,0.46760115,0.4915307,0.48310083,0.51512384,0.51402146,0.6280332,0.5037753,0.5009884
1.0,0.5,0.22879565,0.42385808,0.114270315,0.0,0.0,0.11289289,0.0,0.22883743,0.4251457,0.0074054194,0.0,0.0,0.11289034,0.0,0.31237406,0.31344762,0.06764077,0.0,0.0,0.047305238,0.034188695,0.038895093,0.07567836,0.08444007,0.49971086,0.44770014,0.3346677,0.23225334,0.53476393,0.48662743,0.51686764,0.5150491,0.5139671,0.6297697,0.4662437,0.49104452,0.48310253,0.5151265,0.5140138,0.6298621,0.50216717,0.50057584
1.0,0.5,0.20850278,0.4242632,0.09053386,0.0,0.0,0.10390673,0.0,0.20850421,0.42511505,0.031697538,0.0,0.0,0.10389017,0.0,0.29237384,0.29276353,0.067973554,0.0,0.0,0.054299165,0.033413235,0.035730112,0.07554218,0.08228632,0.49960658,0.44754007,0.33422947,0.23408887,0.5344514,0.48483083,0.5168619,0.51504683,0.51397693,0.62982243,0.4732323,0.49289328,0.48310915,0.5151241,0.51402766,0.6299162,0.5093221,0.50247806
